N;Code;New;Name;Price;Izd;Pages;Format;Date;Pressrun;Themes;Category
35;3919;ЛОЖЬ;Аппаратные средства PC. 3е издание, переработанное и дополненное;27,05;BHV С.-Петербург;800;70х100/16;26.04.1999;5000;Использование ПК в целом;Аппаратные средства ПК
36;5295;ЛОЖЬ;Аппаратные средства PC. 4е издание, перераб. и доп.;45,83;BHV С.-Петербург;1024;70х100/16;20.10.2000;5000;Использование ПК в целом;Аппаратные средства ПК
37;4444;ЛОЖЬ;Модернизация и обслуживание ПК. Базовый курс. ВЕК и Корона Принт;27,00;Век;592;70х100/16;06.12.1999;3000;Использование ПК в целом;Аппаратные средства ПК
38;3930;ЛОЖЬ;Модернизация и обслуживание ПК. Полное руководство. 2-ое издание;50,00;Век;1040;60х84/16;07.05.1999;3000;Использование ПК в целом;Аппаратные средства ПК
39;5409;ЛОЖЬ;"Модернизация и ремонт ПК для ""чайников"" , 5е изд.";18,90;Вильямс;352;70х100/16;21.11.2000;5000;Использование ПК в целом;Аппаратные средства ПК
40;5073;ЛОЖЬ;Ремонт и модернизация ПК.Библия пользователя,3-е издание.;57,00;Вильямс;1120;70х100/16;10.08.2000;4000;Использование ПК в целом;Аппаратные средства ПК
41;4466;ЛОЖЬ;Модернизация и ремонт ПК, 11-е издание.;66,30;Вильямс;1132;70х100/16;22.12.1999;4000;Использование ПК в целом;Аппаратные средства ПК
42;5351;ЛОЖЬ;Реанимация, проверка, наладка современных ПК;17,69;ДЕСС КОМ;288;70х100/16;27.11.2000;2000;Использование ПК в целом;Аппаратные средства ПК
43;4918;ЛОЖЬ;Для программистов.Микропрцессоры от 8086 до Pen;29,94;ДМК;592;70х100/16;31.05.2000;3000;Использование ПК в целом;Аппаратные средства ПК
44;5497;ИСТИНА;Железо персонального компьютера. Практическое руководство;35,00;ДЭСС КОМ;656;70х100/16;29.01.2001;1500;Использование ПК в целом;Аппаратные средства ПК
45;4300;ЛОЖЬ;"Как собрать ПК для ""чайников""";13,20;Диалектика;330;70х100/16;15.12.1999;4000;Использование ПК в целом;Аппаратные средства ПК
46;5199;ЛОЖЬ;Железо IBM 2001.;30,07;МикроАрт;368;70х100/16;02.12.2000;5000;Использование ПК в целом;Аппаратные средства ПК
47;4890;ЛОЖЬ;Системные аналого- цифровые преобразователи и процессоры сигналов;36,31;Мир;560;60х90/16;;1000;Использование ПК в целом;Аппаратные средства ПК
48;5004;ЛОЖЬ;Безопасность глобальных сетевых технологий.;17,81;BHV С.-Петербург;320;70х100/16;23.08.2000;3000;Использование ПК в целом;Защита и безопасность ПК
49;4665;ЛОЖЬ;Защита компьюторной информации;18,36;BHV С.-Петербург;384;70х100/16;22.02.2000;4000;Использование ПК в целом;Защита и безопасность ПК
50;3851;ЛОЖЬ;Защита информации и безопасность компьютерных систем;26,00;DiaSoft;480;84х108/16;04.02.1999;5000;Использование ПК в целом;Защита и безопасность ПК
51;5164;ЛОЖЬ;Максимальная безопасность в Linux;39,00;DiaSoft;400;84х108/16;25.09.2000;3000;Использование ПК в целом;Защита и безопасность ПК
52;4899;ЛОЖЬ;Программирование защиты алгоритмов информации;20,75;Нолидж;288;70х100/16;07.06.2000;3000;Использование ПК в целом;Защита и безопасность ПК
53;3920;ЛОЖЬ;Современные информационные технологии в делопроизводстве и управлении;10,34;BHV С.-Петербург;256;70х100/16;19.05.1999;3000;Использование ПК в целом;Другие книги
54;3241;ЛОЖЬ;Персональный компьютер: аппаратно-программная организация. Книга 1;28,49;BHV С.-Петербург;848;70х100\16;25.02.1999;0;Использование ПК в целом;Другие книги
55;4683;ЛОЖЬ;Тестирование программного обеспечения;25,00;DiaSoft;544;60х84/16;13.03.2000;2000;Использование ПК в целом;Другие книги
56;4020;ЛОЖЬ;Внутренний мир персональных компьютеров, 8е издание. Избранное от Питера Нортона;34,00;DiaSoft;548;84х108/16;05.08.1999;2000;Использование ПК в целом;Другие книги
57;3352;ЛОЖЬ;Открой для себя компьютер;12,00;Вильямс;0;;;0;Использование ПК в целом;Другие книги
58;3932;ЛОЖЬ;Как превратить персональный компьютер в измерительный комплекс;7,65;ДМК;144;60х88/16;09.06.1999;5000;Использование ПК в целом;Другие книги
59;4713;ЛОЖЬ;Plug- ins. Встраиваемые приложения для музыкальных программ;11,41;ДМК;144;70х100/16;22.02.2000;5000;Использование ПК в целом;Другие книги
60;4697;ЛОЖЬ;Решение научно- технических задач на персональном компьютере;16,42;Корона Принт;272;70х100/16;06.03.2000;2000;Использование ПК в целом;Другие книги
61;5347;ЛОЖЬ;Руководство для хакеров 2;11,37;МиК;416;70х100/32;06.12.2000;4000;Использование ПК в целом;Другие книги
62;3904;ЛОЖЬ;Самоучитель полезных программ;20,57;Нолидж;496;70х100/16;24.06.1999;10000;Использование ПК в целом;Другие книги
63;3684;ЛОЖЬ;Параллельные вычислительные системы;22,10;Нолидж;320;70х100/16;25.03.1999;3000;Использование ПК в целом;Другие книги
64;1026;ЛОЖЬ;Обработка данных на ПК в примерах;2,28;Питер;0;;;5000;Использование ПК в целом;Другие книги
65;4759;ЛОЖЬ;Microsoft Systems Management Server 2.0. Учебный курс:Официальное пособие.;56,49;Русская редакция;576;70х100/16;20.01.2000;4000;Использование ПК в целом;Другие книги
66;1287;ЛОЖЬ;Основы AS/ 400;71,98;Русская редакция;376;84х108\16;18.03.1998;5000;Использование ПК в целом;Другие книги
67;2654;ЛОЖЬ;Компьютер для работы и дома.;5,22;Солон;224;60х88/16;;10000;Использование ПК в целом;Другие книги
68;2721;ЛОЖЬ;Сервисная оболочка Norton Desktop for Windows. Практ. пособ.;3,00;Эком;144;84х108\32;17.04.1995;10000;Использование ПК в целом;Другие книги
69;5518;ИСТИНА;Дизайн аспект;14,00;"Дизайнерс.Дом ""Ди Джи Пресс""";0;;;5000;Использование ПК в целом;Компьютерные журналы
70;859;ЛОЖЬ;"Приложение к книге Санна ""Visual Basic 5 для приложений в подлиннике""";12,13;BHV С.-Петербург;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
71;954;ЛОЖЬ;"Приложение к книге ""Энциклопедия Office 97""";7,00;DiaSoft;0;;;1500;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
72;3219;ЛОЖЬ;"Приложение к книге ""Внутренний мир AutoCAD 14""  доптираж";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
73;3321;ЛОЖЬ;"Приложение к книге ""Внутренний мир Windows NT Server 4""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
74;3320;ЛОЖЬ;"Приложение к книге ""Внутренний мир AutoCad 13c4""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
75;1372;ЛОЖЬ;"Приложение к книге ""Java 1.1. Энциклопедия пользователя""";7,00;DiaSoft;0;1;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
76;1555;ЛОЖЬ;"Приложение к книге ""Магия Photoshop. Том 1""";7,00;DiaSoft;0;;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
77;1051;ЛОЖЬ;"Приложение к книге ""Популярные WEB-броузеры. Энциклопедия пользователя""";7,00;DiaSoft;0;;;1250;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
78;1054;ЛОЖЬ;"Приложение к книге ""Power Builder 6. Энциклопедия пользователя""";7,00;DiaSoft;0;;;2050;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
79;3315;ЛОЖЬ;"Приложение к книге ""Внутренний мир Visual J++""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
80;956;ЛОЖЬ;"Приложение к книге ""Энциклопедия Oracle 7.3""";7,00;DiaSoft;0;;;2000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
81;958;ЛОЖЬ;"Приложение к книге ""Энциклопедия Lotus Notes Domino Server 4""";7,00;DiaSoft;0;;;1500;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
82;1373;ЛОЖЬ;"Приложение к книге ""Microsoft BackOffice 2. Энциклопедия пользователя""";7,00;DiaSoft;0;1;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
83;3738;ЛОЖЬ;"Приложение к книге Эспинозы-Эгилара"" 3D Studio MAX том 2""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
84;1014;ЛОЖЬ;"Приложение к книге ""Энциклопедия Windows NT Server и Workstation""";7,00;DiaSoft;0;;;1550;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
85;3231;ЛОЖЬ;"Приложение к книге ""Внутренний мир Adobe Photoshop 4""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
86;3313;ЛОЖЬ;"Приложение к книге ""Внутренний мир 3D Studio MAX. Том 1""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
87;959;ЛОЖЬ;"Приложение к книге "" Visual C++ 5.0.  Энциклопедия пользователя""";7,00;DiaSoft;0;;;1500;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
88;953;ЛОЖЬ;"Приложение к книге ""Внутренний мир 3D MAX. Том 3-й""";7,00;DiaSoft;0;;;2000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
89;1052;ЛОЖЬ;"Приложение к книге ""SQL Server 6.5. Энциклопедия пользователя""";7,00;DiaSoft;0;;;1550;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
90;3317;ЛОЖЬ;"Приложение к книге ""Оптимизация мультимедиа ПК""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
91;3324;ЛОЖЬ;"Приложение к книге ""Windows NT 3.51. Энциклопедия пользователя""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
92;950;ЛОЖЬ;"Приложение к книге ""Руководство разработчика Oracle 7.3""";7,00;DiaSoft;0;;;2500;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
93;1015;ЛОЖЬ;"Приложение к книге ""Энциклопедии Visual J++""";7,00;DiaSoft;0;;;850;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
94;1365;ЛОЖЬ;"Приложение к книге ""Супербиблия Delphi 3""";7,00;DiaSoft;0;1;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
95;1375;ЛОЖЬ;"Приложение к книге ""Oracle 8.  Энциклопедия пользователя""";7,00;DiaSoft;0;1;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
96;4259;ЛОЖЬ;"Приложение к книге ""Энциклопедия пользователя Borland C ++ Builder""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
97;4098;ЛОЖЬ;"Приложение к книге ""Внутренний мир Adobe Photoshop 5""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
98;3218;ЛОЖЬ;"Приложение к книге "" Adobe. WEB-дизайн. Энциклопедия пользователя""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
99;3217;ЛОЖЬ;"Приложение к книге ""Энциклопедия Informix""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
100;3319;ЛОЖЬ;"Приложение к книге ""CorelDraw! 6 для экспертов""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
101;952;ЛОЖЬ;"Приложение к книге ""Библия мультимедиа""";7,00;DiaSoft;0;;;1200;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
102;5150;ЛОЖЬ;"Приложение к книге ""Lotus Notes и Domino R5"" Энциклопедия пользователя";7,00;DiaSoft;0;;;2000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
103;951;ЛОЖЬ;"Приложение к книге ""Разработка Internet-приложений в Delphi 2""";7,00;DiaSoft;0;;;4000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
104;4501;ЛОЖЬ;"Приложение к книге ""UNIX для Internet""";7,00;DiaSoft;0;;;1000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
105;4320;ЛОЖЬ;"Приложение к книге ""Энциклопедия пользователя Borland C ++ Builder 3""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
106;4008;ЛОЖЬ;"Приложение к книге Калверта Ч. ""Delphi 4. Энциклопедия пользователя""";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
107;3316;ЛОЖЬ;"Приложение к книге ""Разработка сценариев для Adobe PageMaker 6.5 """;7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
108;5099;ЛОЖЬ;Приложение к книге Этюды Visual Basic 6;7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
109;5156;ЛОЖЬ;"Приложение "" Программирование в среде Access 2000""";7,00;DiaSoft;0;;;2000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
110;5168;ЛОЖЬ;"Приложение к книге Миллера ""Внутренний мир 3D Studio MAX 3""";7,00;DiaSoft;0;;;2000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
111;4469;ЛОЖЬ;"Приложение к книге ""SQL.  Энциклопедия пользователя"" доптираж";7,00;DiaSoft;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
112;5155;ЛОЖЬ;"Приложение "" Внутренний мир Bryce 4 для дизайнера""";7,00;DiaSoft;0;;;3000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
113;5198;ЛОЖЬ;"Приложение к книге ""Visual C ++ 6 и MFC""";7,00;DiaSoft;0;;;2000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
114;5154;ЛОЖЬ;"Приложение "" Внутренний мир Flash 4 для дизайнера""";7,00;DiaSoft;0;;;3000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
115;5197;ЛОЖЬ;"Приложение к книге ""Программирование в Windows 2000""";7,00;DiaSoft;0;;;2000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
116;1374;ЛОЖЬ;"Приложение к книге ""Unix. Энциклопедия пользователя""";7,00;DiaSoft;0;1;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
117;5157;ЛОЖЬ;"Приложение "" Самоучитель Visual C++6 в примерах""";7,00;DiaSoft;0;;;3000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
118;4762;ЛОЖЬ;"Приложение к ""AutoCAD 2000 Внутренний мир""";7,00;DiaSoft UP;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
119;5167;ЛОЖЬ;"Приложение к книге ""3D Studio MAX 3. Учебник""";7,00;DiaSoft UP;0;;;3000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
120;1693;ЛОЖЬ;CD Учимся программировать Pascal 7;15,00;Диалог-МИФИ;0;;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
121;5106;ЛОЖЬ;Приложение на дискете к книге Компанийца Системное программирование;3,08;Корона Принт;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
122;851;ЛОЖЬ;"Приложение к книге Вебера Р. ""Конфигурирование ПК на процессорах Pentium""";10,02;Мир;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
123;4246;ЛОЖЬ;"Приложение к книге ""Музыка и компьютор"" на CD";8,88;Не определено;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
124;1709;ЛОЖЬ;Приложение Эффективная работа с СУБД;3,00;Питер;0;;;5000;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
125;3301;ЛОЖЬ;"Приложение к книге ""Форматы файлов Internet""";6,00;Питер;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
126;826;ЛОЖЬ;CD к книге Секреты комп.игр 2-ой выпуск;10,02;Питер;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
127;4275;ЛОЖЬ;Приложение на CD диске к Технике и философии хакерских атак;8,46;СОЛОН - Р;0;;;0;Использование ПК в целом;Приложения к книгам на CD-ROM и дискетах
128;194;ЛОЖЬ;Создание переносимых приожений для Windows;30,27;BHV С.-Петербург;0;;;0;Операционные системы;ОС до Windows 98
129;9;ЛОЖЬ;Внутренний мир Windows;4,00;DiaSoft;0;;;0;Операционные системы;ОС до Windows 98
130;18;ЛОЖЬ;БСП т.17 Windows 3.1;9,04;Диалог-МИФИ;0;;;0;Операционные системы;ОС до Windows 98
131;3985;ЛОЖЬ;Windows 95/NT для пользователей, или Как научиться владеть компьютером;9,79;Планета;432;84х108/32;22.04.1998;50000;Операционные системы;ОС до Windows 98
132;2878;ЛОЖЬ;Архитектура Windows для разработчиков. Учебный курс с CD;45,90;Русская редакция;472;;;0;Операционные системы;ОС до Windows 98
133;4691;ЛОЖЬ;Windows 98.Для пользователя. Русифицированная версия;5,58;BHV Киев;368;84х108/32;23.02.2000;8000;Операционные системы;Windows 98
134;4256;ЛОЖЬ;Windows 98.Руководство разработчика 2 тт.;36,00;BHV Киев;1088;70х100/16;25.10.1999;4000;Операционные системы;Windows 98
135;2759;ЛОЖЬ;Внутренний мир Windows 98.;25,00;DiaSoft;608;84х108\16;04.09.1998;3000;Операционные системы;Windows 98
136;5038;ЛОЖЬ;Работа с файлами в Win 32 API.;10,29;Горячая линия -Телеком;200;60х88/16;;5000;Операционные системы;Windows 98
137;3724;ЛОЖЬ;"Windows 98 для ""чайников"". Учебный курс";11,40;Диалектика;272;70х100/16;27.09.1999;5000;Операционные системы;Windows 98
138;4111;ЛОЖЬ;"Windows 98 для ""чайников""";11,40;Диалектика;346;70х100/16;25.10.1999;7000;Операционные системы;Windows 98
139;4023;ЛОЖЬ;Графический интерфейс GDI в Microsoft Windows, т. 14;7,00;Диалог-МИФИ;288;60х84/16;14.10.1994;10000;Операционные системы;Windows 98
140;2659;ЛОЖЬ;Тонкости, хитрости, секреты MS Windows 98.;7,00;Познавательная книга;176;60х84\16;06.09.1998;6000;Операционные системы;Windows 98
141;4095;ЛОЖЬ;Microsoft Windows 98. Учебный курс. Официальное пособие;48,53;Русская редакция;568;;10.09.1999;3000;Операционные системы;Windows 98
142;5184;ЛОЖЬ;Самоучитель  Windows 98.;9,98;Юниор;256;70х100/16;06.11.2000;1500;Операционные системы;Windows 98
143;306;ЛОЖЬ;Windows NT 3.51. Энциклопедия пользователя ( + CD-ROM );5,00;DiaSoft;592;60х84/8;17.03.1997;3000;Операционные системы;Windows NT
144;4346;ЛОЖЬ;Внутренний мир Windows NT Workstation 4  ( + CD-ROM ).;284,76;New Riders Publishing;0;;;0;Операционные системы;Windows NT
145;4250;ЛОЖЬ;NT Server 4.in Enterprise  Сертификационный экзамен-экстерном. (70 068);12,00;Питер;425;60х90/16;10.06.1999;6000;Операционные системы;Windows NT
146;2715;ЛОЖЬ;NT Server 4. Сертификационный экзамен-экстерном.;12,00;Питер;400;60х90\16;18.11.1998;5000;Операционные системы;Windows NT
147;2680;ЛОЖЬ;NT Workstation 4. Сертификационный экзамен-экстерном.;12,00;Питер;480;60х90\16;16.11.1998;5000;Операционные системы;Windows NT
148;775;ЛОЖЬ;Windows NT Workstation 4 наглядно и конкретно;4,90;Русская редакция;310;100х70\16;06.06.1997;10000;Операционные системы;Windows NT
149;1261;ЛОЖЬ;Windows NT 5 перспектива;10,00;Русская редакция;0;;;5000;Операционные системы;Windows NT
150;3960;ЛОЖЬ;Официальный тест MCSE 70-067: Microsoft Windows NT Server 4.0;30,67;Русская редакция;376;;25.06.1999;5000;Операционные системы;Windows NT
151;3962;ЛОЖЬ;Официальный тест MCSE 70-073: Microsoft Windows NT Workstation 4.0;30,68;Русская редакция;456;;25.06.1999;5000;Операционные системы;Windows NT
152;4515;ЛОЖЬ;Windows NT 4.0 Server  Enterprise.Официальный тест. Сертификационный экзамен (70-068);30,70;Русская редакция;400;;;3000;Операционные системы;Windows NT
153;4317;ЛОЖЬ;Реестр Windows 2000;17,49;BHV С.-Петербург;352;70х100/16;21.01.2000;5000;Операционные системы;Windows 2000
154;4904;ЛОЖЬ;Самоучитель Windows 2000  Professional.;23,32;BHV С.-Петербург;528;70х100/16;23.06.2000;3000;Операционные системы;Windows 2000
155;3242;ЛОЖЬ;Новые технологии Windows 2000;23,75;BHV С.-Петербург;592;70х100/16;26.02.1999;3000;Операционные системы;Windows 2000
156;4858;ЛОЖЬ;Microsoft Windows 2000  Professional.Русская версия;32,40;BHV С.-Петербург;752;70х100/16;02.06.2000;5000;Операционные системы;Windows 2000
157;4848;ЛОЖЬ;Microsoft Windows 2000 Server. Русская версия;37,12;BHV С.-Петербург;960;70х100/16;17.05.2000;5000;Операционные системы;Windows 2000
158;4857;ЛОЖЬ;Microsoft Windows 2000:Server и Professional.Русская версия;45,78;BHV С.-Петербург;1056;70х100/16;26.05.2000;5000;Операционные системы;Windows 2000
159;5511;ИСТИНА;Microsoft Windows 2000 Professional. Энциклопедия пользователя;49,00;DiaSoft;832;70х100/16;09.02.2001;2000;Операционные системы;Windows 2000
160;5003;ЛОЖЬ;Программирование в Windows 2000. Энциклопедия пользователя.  ( + CD-ROM );75,00;DiaSoft;640;84х108/16;01.06.2000;2000;Операционные системы;Windows 2000
161;5070;ЛОЖЬ;Освой самостоятельно Microsoft Windows 2000 Professional за 24 часа.;18,90;Вильямс;288;70х100/16;01.08.2000;5000;Операционные системы;Windows 2000
162;4851;ЛОЖЬ;Освой самостаятельно Microsoft Windows 2000 Server за 24 часа;24,60;Вильямс;464;70х100/16;12.05.2000;5000;Операционные системы;Windows 2000
163;5189;ЛОЖЬ;Реестр Windows 2000;24,60;Вильямс;320;70х100/16;06.10.2000;5000;Операционные системы;Windows 2000
164;5121;ЛОЖЬ;Освой самостаятельно Microsoft Windows 2000 Server за 21 день;41,40;Вильямс;832;70х100/16;29.07.2000;5000;Операционные системы;Windows 2000
165;4913;ЛОЖЬ;Секреты Windows 2000 Server.;47,40;Вильямс;768;70х100/16;26.06.2000;4000;Операционные системы;Windows 2000
